,Acridi,AgaGut,Aphidi,ArcCinA,ArcCinJ,AtheriL,BaeSpp,BemDec,BemFas,BemPun,BemTes,BraMon,CeratoA,CeratoL,ChironL,ChironP,CicHyb,Clubio,CoccinA,ColeopA,ColeopL,Curcu1A,Curcu2A,DinFerr,DinMegA,DinMegL,Dipte1L,Dipte2L,DipterA,DruDis,Dysder,ElaterA,ElmidaA,ElmidaL,Entomo,EphDan,EphemeA,Formi1A,Formi1W,Formi2,GamSpp,GloSpp,GyriniA,HelSpp,HemiptA,HexSpp,Hirudi,Hydrom,Hydrac,HydropL,HydSppL,HydSppP,Hymeno,LabRip,LepidoA,LeuSpp,LioQua,MicMin,Mirida,NebPic,OchRos,Oligoc,OreSppA,OreSppL,PaeRub,ParWag,PerAer,PhiRuf,PirLat,Pisaur,ProSpp,RhaSpp,RhiSpp,RhyHir,RhyTriL,RhyTriP,ScoGra,SerIgn,SimuliL,TabaniL,ThiDil,Thomis,Thysan,TipSpp,TipuliA,TrichoA
S5/B1-P,1.666666667,0,0,0.333333333,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.666666667,0.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0,0,0,0,0,1.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0.333333333,2.333333333,0,0,0,0,0,0.666666667,0,0,0,0,0.333333333,8.666666667,0,0.333333333,2,0.333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
S5/B2-P,0,0,0,0.333333333,0,0,0,2,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0,0,0,0.333333333,0,4.333333333,0,0,2,0,0,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,1.333333333,0,0,0,0,0,0,0,0,0,0,1.666666667,7.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0.666666667,0
S5/B3-P,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,1.666666667,0,0,0.333333333,0,0,0,0,0,0,0,1.333333333,6.666666667,0,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0
S5/B4-P,0,0,0.333333333,0.666666667,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,3,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0.666666667,5.666666667,0,0,1.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,1.333333333,0
S5/B5-P,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0.333333333,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,1,3.333333333,1,0.333333333,0.666666667,0.333333333,0,0,0,0,0,0,0.666666667,0,0,0,0.333333333,0,0,0,0.666666667,0
S5/B6-P,0,0,0,0,0,0,0,3,0,3,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.666666667,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,0,0.333333333,0.333333333,0.333333333,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0
S5/B7-P,0,0,0,0.333333333,0,0,0,1.666666667,0,1,0,0,1.333333333,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,2,0,0,0.333333333,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0,0,0,0,0,0,4.666666667,0.333333333,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0
S6/A1-P,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S6/A2-P,0,0,0,0.2,0.2,0,0,0.2,3,0,0.2,0,1.2,0,0,0,0.4,0,0,0.4,0.6,0,0,0,0,0,0.2,0,1.8,0,0,0.2,0,0,0,0,0,0,0.4,0.2,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0,0,0,0.2,2.4,0.2,0,2.8,0,0,0,0,0,0,0,0.2,0,0,0,0.6,0,0,0,0,0
S6/A3-P,0,0,0,0.2,0,0,0,0.2,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0,0,0,0,0,3.2,0,0,0.6,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
